Day,Breakfast,Lunch,Snacks,Dinner
Monday,"Pongal, Medu Vadai, Sambar, Coconut Chutney, Tea","White Rice, Sambar, Rasam, Poriyal, Kootu, Papad, Butter Milk, Pickle","Biscuit, Tea","Chapathi, Channa Masala, White Rice, Rasam, Pickle"
Tuesday,"Idly, Medu Vadai, Sambar, Chutney, Tea","White Rice, Kara Kulambu, Rasam, Poriyal, Kootu, Papad, Butter Milk, Pickle","Sundal, Tea","Parotta, Chicken Gravy with piece, Veg Kuruma, Gopi Manjurian, White Rice, Rasam, Pickle"
Wednesday,"Kal Dosa, Kesari, Rava Uppuma, Sambar, Chutney, Tea","White Rice, Mor Kulambu, Rasam, Poriyal, Kootu, Papad, Butter Milk, Pickle","Valaikai Baji, Tea","Idly, Tomato Thokku, Sambar, White Rice, Rasam, Pickle"
Thursday,"Rava Kichadi, Bread, Jam, Chutney, Tea","White Rice, Sambar, Rasam, Poriyal, Kootu, Papad, Butter Milk, Pickle","Bonda, Tea","Variety Rice, White Rice, Rasam, Egg, Gopi Manjurian, Brinjal Thalicha, Pickle"
Friday,"Kal Dosai, Semiya, Sambar, Chutney, Tea","White Rice, Chicken Kulambu, Rasam, Poriyal, Kootu, Papad, Butter Milk, Pickle","Sundal, Tea","Chapathi, Tomato Thokku, White Rice, Rasam, Pickle"
Saturday,"Idly, Medu Vadai, Sambar, Chutney, Tea","White Rice, Sambar, Rasam, Poriyal, Kootu, Papad, Butter Milk, Pickle","Sweet Bonda, Tea","Dosa, Sambar, Chutney, White Rice, Rasam, Pickle"
Sunday,"Poori, Alu Masala, Tea","Chicken Briyani, Veg Briyani, White Rice, Rasam, Gobi Manjurian, Onion Raita, Pickle","Groundnut, Tea","Idly, Chutney, Sambar, White Rice, Rasam, Pickle"
